Years,Genre,Title,Subscribers
Q1 - 2018,Comedy,The Joel McHale Show with Joel McHale,60909000
Q1 - 2018,Interview,My Next Guest Needs No Introduction with David Letterman,60909000
Q1 - 2018,Competition,Nailed It!,60909000
Q1 - 2018,Makeover reality,Queer Eye,60909000
Q1 - 2018,Documentary,Rapture,60909000
Q1 - 2018,Documentary,Wild Wild Country,60909000
Q1 - 2018,Documentary,Girls Incarcerated,60909000
Q1 - 2018,Documentary,Flint Town,60909000
Q1 - 2018,Travel documentary,Ugly Delicious,60909000
Q1 - 2018,Sport,First Team: Juventus,60909000
Q1 - 2018,Sport,Coach Snoop,60909000
Q1 - 2018,Documentary,Dirty Money,60909000
Q1 - 2018,Documentary,Drug Lords,60909000
Q1 - 2018,Travel documentary,Somebody Feed Phil,60909000
Q1 - 2018,Documentary,Rotten,60909000
Q1 - 2018,Crime drama,The Mechanism,60909000
Q1 - 2018,Drama,Edha,60909000
Q1 - 2018,Sitcom,Alexa & Katie,60909000
Q1 - 2018,childrens-animation,Luna Petunia: Return to Amazia,60909000
Q1 - 2018,childrens-animation,Llama Llama,60909000
Q1 - 2018,childrens-animation,Trolls: The Beat Goes On!,60909000
Q1 - 2018,Musical fantasy,Lost Song,60909000
Q1 - 2018,Supernatural,Sword Gai: The Animation,60909000
Q1 - 2018,Science fiction,A.I.C.O. -Incarnation-,60909000
Q1 - 2018,Suspense,B: The Beginning,60909000
Q1 - 2018,Supernatural horror,Devilman Crybaby,60909000
Q1 - 2018,Coming-of-age comedy,On My Block,60909000
Q1 - 2018,Coming-of-age comedy,Everything Sucks!,60909000
Q1 - 2018,Crime drama,Seven Seconds,60909000
Q1 - 2018,Science fiction,Altered Carbon,60909000
Q2 - 2018,Late-night,The Break with Michelle Wolf,61870000
Q2 - 2018,Korean language variety show,Busted!,61870000
Q2 - 2018,Variety show,A Little Help with Carol Burnett,61870000
Q2 - 2018,Cooking show,Cooking on High,61870000
Q2 - 2018,Motoring television series,Fastest Car,61870000
Q2 - 2018,Documentary,November 13: Attack on Paris,61870000
Q2 - 2018,Docu-series,Explained,61870000
Q2 - 2018,True crime,Evil Genius: The True Story of America's Most Diabolical Bank Heist,61870000
Q2 - 2018,History,Bobby Kennedy for President,61870000
Q2 - 2018,Comedy,Club de Cuervos Presents: The Ballad of Hugo Sánchez,61870000
Q2 - 2018,Post-apocalyptic drama,The Rain,61870000
Q2 - 2018,Educational,The Who Was? Show,61870000
Q2 - 2018,chrildrens musical short,Dance & Sing with True,61870000
Q2 - 2018,childrens-animation,Harvey Girls Forever!,61870000
Q2 - 2018,childrens-animation,True: Wonderful Wishes,61870000
Q2 - 2018,childrens-animation,True: Magical Friends,61870000
Q2 - 2018,childrens-animation,The Hollow,61870000
Q2 - 2018,childrens-animation,Spy Kids: Mission Critical,61870000
Q2 - 2018,childrens-animation,The Boss Baby: Back in Business,61870000
Q2 - 2018,Martial arts,Baki,61870000
Q2 - 2018,Comedy,Aggretsuko,61870000
Q2 - 2018,Science fiction,Lost in Space,61870000
Q3 - 2018,Talk show,Norm Macdonald Has a Show,63010000
Q3 - 2018,Spanish language reality series,Made In Mexico,63010000
Q3 - 2018,Reality,Battlefish,63010000
Q3 - 2018,Motoring television series,Car Masters: Rust to Riches,63010000
Q3 - 2018,Reality,First and Last,63010000
Q3 - 2018,Reality,Stay Here,63010000
Q3 - 2018,Reality,Magic for Humans,63010000
Q3 - 2018,Reality,Amazing Interiors,63010000
Q3 - 2018,Baking competition,Sugar Rush,63010000
Q3 - 2018,Docu-series,Boca Juniors Confidential,63010000
Q3 - 2018,Docu-series,Follow This,63010000
Q3 - 2018,Docu-series,Afflicted,63010000
Q3 - 2018,Nature,72 Dangerous Animals: Asia,63010000
Q3 - 2018,Docu-series,Marching Orders,63010000
Q3 - 2018,Travel documentary,Dark Tourist,63010000
Q3 - 2018,Horror miniseries,Ghoul,63010000
Q3 - 2018,Comedy,The House of Flowers,63010000
Q3 - 2018,Science fiction,Switched,63010000
Q3 - 2018,Comedy,Jimmy: The True Story of a True Idiot,63010000
Q3 - 2018,Comedy,Samantha!,63010000
Q3 - 2018,Drama,Sacred Games,63010000
Q3 - 2018,Drama,The Ponysitters Club,63010000
Q3 - 2018,chrildrens musical short,Super Monsters Monster Party,63010000
Q3 - 2018,childrens-animation,Hilda,63010000
Q3 - 2018,childrens-animation,The Dragon Prince,63010000
Q3 - 2018,childrens-animation,Cupcake & Dino: General Services,63010000
Q3 - 2018,childrens-animation,The Epic Tales of Captain Underpants,63010000
Q3 - 2018,Comedy,Paradise PD,63010000
Q3 - 2018,Medieval fantasy comedy,Disenchantment,63010000
Q3 - 2018,Dark comedy,Maniac,63010000
Q3 - 2018,Comedy,All About the Washingtons,63010000
Q3 - 2018,Police procedural comedy-drama,The Good Cop,63010000
Q3 - 2018,Supernatural fiction,The Innocents,63010000
Q3 - 2018,Dark comedy-drama,Insatiable,63010000
Q4 - 2018,Panel show,The Fix,64757000
Q4 - 2018,Talk show,Patriot Act with Hasan Minhaj,64757000
Q4 - 2018,Reality competition,Nailed It! Holiday,64757000
Q4 - 2018,Reality,Death by Magic,64757000
Q4 - 2018,Culinary competition,The Final Table,64757000
Q4 - 2018,Music,Westside,64757000
Q4 - 2018,Horror,Haunted,64757000
Q4 - 2018,Cooking show,The Curious Creations of Christine McConnell,64757000
Q4 - 2018,Celebrity,Dancing Queen,64757000
Q4 - 2018,True crime,Murder Mountain,64757000
Q4 - 2018,Docu-series,7 Days Out,64757000
Q4 - 2018,True crime,The Innocent Man,64757000
Q4 - 2018,Sport,Sunderland 'Til I Die,64757000
Q4 - 2018,Docu-series,Inside the Real Narcos,64757000
